name,department,sex
Гощицкий Борис Николаевич,Отделение физических наук РАН,m
Граннис Пол,Отделение физических наук РАН,m
Гранов Дмитрий Анатольевич,Отделение медицинских наук РАН,m
Грачев Владимир Александрович,Отделение химии и наук о материалах РАН,m
Грачев Михаил Александрович,Отделение биологических наук РАН,m
Грачев Михаил Александрович,Отделение сельскохозяйственных наук РАН,m
Гребенникова Татьяна Владимировна,Отделение медицинских наук РАН,f
Грен Элмар Янович,Отделение биологических наук РАН,m
Грен Элмар Янович,Отделение сельскохозяйственных наук РАН,m
Грехов Игорь Всеволодович,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Гречников Фёдор Васильевич,Отделение химии и наук о материалах РАН,m
Грибов Борис Георгиевич,Отделение нанотехнологий и информационных технологий РАН,m
Грибов Лев Александрович,Отделение химии и наук о материалах РАН,m
Григоренко Леонид Валентинович,Отделение физических наук РАН,m
Григорович Константин Всеволодович,Отделение химии и наук о материалах РАН,m
Григорчук Даниэль,Отделение медицинских наук РАН,m
Григорьев Борис Афанасьевич,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Григорьев Виктор Михайлович,Отделение физических наук РАН,m
Григорьев Евгений Георгиевич,Отделение медицинских наук РАН,m
Грин Дэвид Хедли,Отделение наук о Земле РАН,m
Гринцер Николай Павлович,Отделение историко-филологических наук РАН,m
Гриценко Александр Иванович,Отделение наук о Земле РАН,m
Грицко Геннадий Игнатьевич,Отделение наук о Земле РАН,m
